id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736267797,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736267797,6.17
1736267786,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736267786,4.63
1736267058,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736267058,2.57
1736267659,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267659,3.09
1736267102,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267102,3.09
1736266201,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736266201,9.9
1736268143,Kasserine,74,35.1677,8.8315,1736267279,1736231613,9.32,1736268143,7.42
1736264346,Gabès,59,33.8869,10.0982,1736267163,1736231120,16.99,1736264346,5.66
1736265582,Ben Arous,67,36.7134,10.2096,1736266711,1736231519,15.9,1736265582,7.72
1736268264,Beni Kheddache,59,33.1381,10.269,1736267230,1736230971,12.1,1736268264,5.62
1736265150,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736265150,3.09
1736267736,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267736,3.09
1736264184,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736264184,6.26
1736265831,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736265831,7.72
1736264370,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736264370,6.04
1736267775,Sbikha,72,35.9444,9.799,1736266929,1736231498,10.39,1736267775,10.17
1736266145,Carthage,67,36.8473,10.3417,1736266658,1736231508,16.02,1736266145,7.72
1736265621,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265621,6.04
1736265885,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736265885,4.63
1736268364,Metlaoui,49,34.2744,8.4459,1736267504,1736231573,14.11,1736268364,2.86
1736265229,Ben Arous,67,36.7134,10.2096,1736266711,1736231519,15.9,1736265229,7.72
1736266829,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736266829,0.51
1736265826,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736265826,4.58
1736268149,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736268149,0.51
1736265415,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736265415,4.42
1736266745,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736266745,4.42
1736266687,Bizerte,68,37.2744,9.8739,1736266703,1736231688,15.25,1736266687,11.46
1736266660,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736266660,4.4
1736265278,Jendouba,63,36.4462,8.7927,1736267093,1736231817,14.97,1736265278,5.14
1736264947,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736264947,10.23
1736267253,Bab El Jazira,77,36.8064,10.1817,1736266703,1736231540,14.99,1736267253,6.17
1736268270,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736268270,3.6
1736268246,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736268246,4.63
1736267536,Aryanah,77,36.8625,10.1956,1736266691,1736231546,14.97,1736267536,6.17
1736267147,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736267147,4.58
1736265775,Kairouan,34,35.6712,10.0911,1736266900,1736231387,19.01,1736265775,3.09
1736265246,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265246,6.04
1736265090,Kairouan,34,35.6712,10.0911,1736266900,1736231387,19.01,1736265090,3.09
1736266852,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736266852,2.57
1736265371,Ben Arous,67,36.7134,10.2096,1736266711,1736231519,15.9,1736265371,7.72
1736264969,Tunis,67,36.8064,10.1817,1736266703,1736231540,15.99,1736264969,7.72
1736265251,Jendouba,63,36.5123,8.7682,1736267088,1736231833,15.03,1736265251,5.14
1736267609,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736267609,5.14
1736266637,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736266637,3.09
1736264386,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736264386,6.04
1736268121,Bizerte,68,37.2744,9.8739,1736266703,1736231688,14.81,1736268121,10.78
1736268037,Beni Kheddache,59,33.1381,10.269,1736267230,1736230971,12.1,1736268037,5.62
1736267791,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736267791,2.57
1736265235,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736265235,1.56
1736263947,,72,-17.8061,-101.8532,1736299664,1736252372,21.27,1736263947,5.92
1736268297,Gafsa,55,34.4311,8.7757,1736267401,1736231517,15.06,1736268297,4.63
1736264936,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736264936,7.72
1736266532,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736266532,4.42
1736265172,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736265172,4.63
1736265128,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265128,6.04
1736265521,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736265521,9.9
1736267497,Bizerte,67,37.3426,9.8502,1736266698,1736231705,14.86,1736267497,11.27
1736267664,Aryanah,77,36.8625,10.1956,1736266691,1736231546,14.97,1736267664,6.17
1736266071,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736266071,4.42
1736268286,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736268286,0.51
1736264357,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736264357,4.58
1736266140,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736266140,6.04
1736266632,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736266632,8.34
1736265426,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736265426,1.56
1736266957,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736266957,10.23
1736266403,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736266403,2.57
1736267380,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736267380,4.58
1736268370,Aryanah,77,36.8625,10.1956,1736266691,1736231546,14.97,1736268370,5.14
1736264941,Bizerte,88,37.2744,9.8739,1736266703,1736231688,15,1736264941,6.69
1736264958,Gafsa,51,34.4311,8.7757,1736267401,1736231517,16.06,1736264958,4.63
1736266212,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736266212,4.63
1736265035,Gabès,59,33.8869,10.0982,1736267163,1736231120,16.99,1736265035,5.66
1736267925,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736267925,4.28
1736267452,Mahdia,57,35.5068,11.0468,1736266696,1736231132,15.78,1736267452,5.53
1736266162,Gabès,44,33.8869,10.0982,1736267163,1736231120,17.23,1736266162,5.33
1736267375,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736267375,6.26
1736266353,Bizerte,68,37.2744,9.8739,1736266703,1736231688,15.25,1736266353,11.46
1736266066,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736266066,9.9
