,id,city_name,humidity,latitude,longtitude,temperature,wind_speed,date,sunrise,sunset
43,1736267847,Ben Arous,77,36.7134,10.2096,14.9,6.17,2025-01-07 11:37:27,2025-01-07 01:31:59,2025-01-07 11:18:31
44,1736267603,Gafsa,55,34.4311,8.7757,15.06,4.63,2025-01-07 11:33:23,2025-01-07 01:31:57,2025-01-07 11:30:01
45,1736265063,Beni Kheddache,54,33.1381,10.269,13.32,6.26,2025-01-07 10:51:03,2025-01-07 01:22:51,2025-01-07 11:27:10
46,1736268229,Gouvernorat de Kébili,48,33.5031,8.7757,15.03,4.28,2025-01-07 11:43:49,2025-01-07 01:29:42,2025-01-07 11:32:16
47,1736266229,Sfax,45,34.7396,10.76,17.44,2.93,2025-01-07 11:10:29,2025-01-07 01:24:46,2025-01-07 11:21:19
48,1736267587,Jendouba,77,36.4462,8.7927,13.97,2.57,2025-01-07 11:33:07,2025-01-07 01:36:57,2025-01-07 11:24:53
49,1736263966,Gafsa,51,34.4311,8.7757,16.06,4.63,2025-01-07 10:32:46,2025-01-07 01:31:57,2025-01-07 11:30:01
50,1736265404,Gabès,59,33.8869,10.0982,16.99,5.66,2025-01-07 10:56:44,2025-01-07 01:25:20,2025-01-07 11:26:03
51,1736265931,Gabès,59,33.8869,10.0982,16.99,5.66,2025-01-07 11:05:31,2025-01-07 01:25:20,2025-01-07 11:26:03
52,1736265360,Gafsa,51,34.4311,8.7757,16.06,4.63,2025-01-07 10:56:00,2025-01-07 01:31:57,2025-01-07 11:30:01
53,1736266846,Aryanah,77,36.8625,10.1956,14.97,6.17,2025-01-07 11:20:46,2025-01-07 01:32:26,2025-01-07 11:18:11
54,1736267720,Fernana,84,36.7422,8.6626,7.04,4.86,2025-01-07 11:35:20,2025-01-07 01:38:15,2025-01-07 11:24:38
55,1736268201,Ben Arous,77,36.7134,10.2096,14.9,5.14,2025-01-07 11:43:21,2025-01-07 01:31:59,2025-01-07 11:18:31
56,1736266275,Beni Kheddache,54,33.1381,10.269,13.32,6.26,2025-01-07 11:11:15,2025-01-07 01:22:51,2025-01-07 11:27:10
57,1736266790,Bizerte,69,37.3426,9.8502,15.28,11.9,2025-01-07 11:19:50,2025-01-07 01:35:05,2025-01-07 11:18:18
